name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
NGTS-12 b,NGTS-12,2020,Transit,446.44,7.5328,11.75,66.11,1257
K2-188 b,K2-188,2018,Transit,446.82,1.7422,1.35,,1692
K2-188 c,K2-188,2018,Transit,446.82,7.8103,2.83,,1026
WASP-124 b,WASP-124,2016,Transit,448.64,3.3727,13.9,190.7,1400
WASP-151 b,WASP-151,2017,Transit,453.1,4.5335,13.31,100.43,1312
K2-349 b,K2-349,2021,Transit,453.57,9.0322,1.38,,518
HATS-46 b,HATS-46,2018,Transit,453.81,4.7424,10.12,54.98,1054
Kepler-323 b,Kepler-323,2014,Transit,454.88,1.6783,1.38,3.9,1838
Kepler-323 c,Kepler-323,2014,Transit,454.88,3.5538,1.57,6.8,1431
HAT-P-9 b,HAT-P-9,2008,Transit,455.2,3.9228,15.61,238.05,1540
K2-245 b,K2-245,2018,Transit,456.06,11.8931,4.34,,923
TIC 147027702 b,TIC 147027702,2026,Transit,457.19,44.4052,10.93,346.43,863
K2-281 b,K2-281,2018,Transit,458.14,8.6877,8.18,,665
TOI-2842 b,TOI-2842,2023,Transit,461.0,3.5514,12.85,117.6,1471
TOI-3912 b,TOI-3912,2023,Transit,465.99,3.4936,14.28,129.04,1512
WASP-90 b,WASP-90,2016,Transit,466.43,3.9162,18.27,200.23,1840
KELT-21 b,KELT-21,2018,Transit,470.88,3.6128,17.78,1242.72,2051
HATS-25 b,HATS-25,2016,Transit,471.16,4.2986,14.12,194.83,1277
Kepler-109 c,Kepler-109,2014,Transit,474.86,21.2227,2.65,8.2,859
Kepler-109 b,Kepler-109,2014,Transit,474.86,6.4816,2.49,4.9,1276
K2-114 b,K2-114,2017,Transit,475.76,11.3909,10.59,638.84,701
WASP-194 b,WASP-194,2025,Transit,476.83,3.1834,15.48,373.13,1693
K2-166 b,K2-166,2018,Transit,476.88,8.527,2.19,,1140
TOI-5322 b,TOI-5322,2025,Transit,476.9,5.4233,16.61,184.02,1350
KOI-94 d,KOI-94,2013,Transit,477.05,22.343,11.27,106.0,806
KOI-94 c,KOI-94,2013,Transit,477.05,10.4236,4.32,15.6,1012
KOI-94 b,KOI-94,2013,Transit,477.05,3.7432,1.71,10.5,1486
KOI-94 e,KOI-94,2013,Transit,477.05,54.3203,6.56,35.0,584
K2-108 b,K2-108,2017,Transit,477.3,4.734,5.33,,1360
TOI-4487 A b,TOI-4487 A,2025,Transit,479.15,3.9541,14.61,397.29,1639
TOI-5181 A b,TOI-5181 A,2025,Transit,480.16,3.8922,13.35,330.54,1585
K2-358 b,K2-358,2021,Transit,480.31,11.251,2.68,,888
WASP-197 b,WASP-197,2025,Transit,483.68,5.1672,14.45,403.32,1665
WASP-195 b,WASP-195,2025,Transit,484.85,5.0519,10.31,33.05,1522
TOI-3071 b,TOI-3071,2024,Transit,485.22,1.2669,7.16,68.2,2155
Kepler-949 c,Kepler-949,2023,Transit,486.11,20.9976,2.97,,582
HATS-60 b,HATS-60,2018,Transit,486.47,3.5608,12.92,210.4,1528
Kepler-431 d,Kepler-431,2015,Transit,486.55,11.922,1.11,,856
Kepler-431 c,Kepler-431,2015,Transit,486.55,8.703,0.67,,951
Kepler-431 b,Kepler-431,2015,Transit,486.55,6.803,0.76,,1032
TOI-3980 b,TOI-3980,2025,Transit,486.72,3.6089,14.46,187.52,1621
Kepler-4 b,Kepler-4,2009,Transit,487.92,3.2135,4.0,24.47,1650
K2-276 b,K2-276,2018,Transit,488.15,18.7183,3.77,,583
K2-350 b,K2-350,2021,Transit,489.37,4.1639,1.54,,1158
K2-350 c,K2-350,2016,Transit,489.37,19.9919,2.74,,687
K2-87 b,K2-87,2016,Transit,491.24,9.7266,7.6,,979
K2-60 b,K2-60,2016,Transit,491.87,3.0027,7.66,135.4,1400
TOI-4773 b,TOI-4773,2025,Transit,492.89,1.7453,15.22,1687.67,2255
HATS-65 b,HATS-65,2018,Transit,493.32,3.1052,16.82,260.94,1634
TOI-3877 b,TOI-3877,2025,Transit,493.77,4.1236,11.68,99.8,1445
K2-15 b,K2-15,2015,Transit,493.99,11.8104,2.48,,676
HATS-24 b,HATS-24,2017,Transit,494.18,1.3485,15.64,718.3,2166
TOI-2803 A b,TOI-2803 A,2023,Transit,494.82,1.9623,18.11,309.88,1893
NGTS-31 b,NGTS-31,2025,Transit,497.38,4.1627,18.05,355.97,1410
Kepler-1834 c,Kepler-1834,2023,Transit,500.4,0.7667,1.22,,1541
K2-355 b,K2-355,2021,Transit,500.5,5.7386,2.25,,1066
KOI-1831 d,Kepler-324,2018,Transit,501.57,34.169,1.13,2.23,475
TOI-2567 b,TOI-2567,2022,Transit,504.78,5.9839,10.93,63.88,1352
TIC 257060897 b,TIC 257060897,2021,Transit,505.7,3.66,17.26,201.5,1775
TOI-2373 b,TOI-2373,2023,Transit,508.69,13.3367,10.42,2955.8,860
HATS-34 b,HATS-34,2016,Transit,508.84,2.1062,16.03,299.08,1445
WASP-192 b,WASP-192,2019,Transit,508.89,2.8787,13.79,731.01,1620
HAT-P-55 b,HAT-P-55,2015,Transit,511.39,3.5852,14.84,189.43,1367
HATS-14 b,HATS-14,2015,Transit,513.01,2.7668,11.65,340.4,1276
Kepler-1988 b,Kepler-1988,2023,Transit,513.43,11.495,1.53,,1105
K2-66 b,K2-66,2016,Transit,513.88,5.0696,2.49,21.3,1372
HATS-35 b,HATS-35,2016,Transit,514.55,1.821,16.41,388.39,2037
HAT-P-50 b,HAT-P-50,2015,Transit,515.46,3.122,14.44,429.07,1862
HAT-P-58 b,HAT-P-58,2021,Transit,515.59,4.0138,14.93,118.23,1622
TOI-1994 b,TOI-1994,2024,Transit,515.6,4.0337,13.67,7024.01,2290
TOI-3976 A b,TOI-3976 A,2023,Transit,516.09,6.6077,12.27,55.62,1295
WASP-141 b,WASP-141,2016,Transit,516.54,3.3107,13.56,854.96,1540
K2-357 b,K2-357,2021,Transit,517.69,16.3489,3.72,,735
K2-98 b,K2-98,2016,Transit,518.63,10.1367,5.07,34.01,1185
KOI-13 b,KOI-13,2011,Transit,519.1,1.7636,16.95,2949.46,2550
K2-99 b,K2-99,2016,Transit,519.23,18.2478,11.88,276.51,1184
NGTS-25 b,NGTS-25,2022,Transit,521.23,2.8231,11.47,203.09,1101
K2-249 b,K2-249,2018,Transit,521.72,12.409,2.79,,1061
HATS-62 b,HATS-62,2018,Transit,523.07,3.2769,11.83,56.89,1237
WASP-114 b,WASP-114,2016,Transit,523.34,1.5488,15.01,562.24,2043
WASP-158 b,WASP-158,2018,Transit,524.99,3.6563,11.99,886.75,1590
Kepler-107 d,Kepler-107,2014,Transit,526.0,7.9584,0.86,7.7,1173
Kepler-107 c,Kepler-107,2014,Transit,526.0,4.9015,1.6,10.0,1378
Kepler-107 b,Kepler-107,2014,Transit,526.0,3.18,1.54,3.8,1592
Kepler-107 e,Kepler-107,2014,Transit,526.0,14.7491,2.9,14.1,955
TOI-2981 b,TOI-2981,2024,Transit,527.79,3.6015,13.4,638.0,1358
WASP-150 b,WASP-150,2020,Transit,528.0,5.6442,11.99,2688.84,1460
HAT-P-43 b,HAT-P-43,2012,Transit,528.83,3.3326,13.63,,1353
TOI-5340 b,TOI-5340,2025,Transit,532.63,4.9394,15.08,270.15,1566
Kepler-1992 b,Kepler-1992,2023,Transit,532.96,15.6112,0.91,,637
HATS-10 b,HATS-10,2015,Transit,534.89,3.3128,10.86,167.18,1407
HATS-28 b,HATS-28,2016,Transit,535.38,3.1811,13.38,213.58,1253
WASP-102 b,WASP-102,2025,Transit,535.69,2.7098,14.91,197.69,1671
K2-238 b,K2-238,2018,Transit,537.96,3.2047,14.57,273.33,1587
WASP-172 b,WASP-172,2018,Transit,538.11,5.4774,17.6,149.38,1740
WASP-175 b,WASP-175,2019,Transit,539.36,3.0653,13.54,314.65,1571
K2-230 b,K2-230,2018,Transit,540.77,2.8604,1.96,,1529
TOI-2992 b,TOI-2992,2025,Transit,542.03,3.0078,13.75,1058.37,1726
WASP-190 b,WASP-190,2019,Transit,542.25,5.3678,12.89,317.83,1500
TOI-4794 b,TOI-4794,2025,Transit,543.01,3.5658,14.36,308.29,1673
Kepler-1669 d,Kepler-1669,2023,Transit,543.44,4.7294,1.22,,669
Kepler-452 b,Kepler-452,2015,Transit,551.73,384.843,1.63,,265
EPIC 248847494 b,EPIC 248847494,2018,Transit,551.89,3650.0,12.44,4131.79,183
HATS-52 b,HATS-52,2017,Transit,555.13,1.3667,15.49,711.94,1834
TOI-2416 b,TOI-2416,2023,Transit,557.73,8.2755,9.86,953.49,1080
K2-335 b,K2-335,2021,Transit,557.99,12.2832,2.21,,949
TOI-3819 b,TOI-3819,2023,Transit,558.14,3.2443,13.14,352.79,1633
Kepler-1982 b,Kepler-1982,2023,Transit,558.86,3.8232,0.77,,1282
Qatar-10 b,Qatar-10,2019,Transit,559.07,1.6453,17.3,233.92,1955
WASP-133 b,WASP-133,2016,Transit,559.08,2.1764,13.56,368.68,1790
WASP-116 b,WASP-116,2025,Transit,559.24,6.6132,13.67,203.41,1414
TOI-4734 b,TOI-4734,2025,Transit,563.07,6.2356,10.92,61.66,1468
TOI-2986 b,TOI-2986,2025,Transit,563.15,3.2784,9.29,96.62,1622
HATS-56 b,HATS-56,2019,Transit,564.41,4.3248,18.92,191.33,1902
K2-271 b,K2-271,2018,Transit,564.45,8.5624,7.28,,893
Wendelstein-2 b,Wendelstein-2,2020,Transit,565.54,1.7522,12.99,232.33,2470
TOI-2583 A b,TOI-2583 A,2023,Transit,566.19,4.5207,14.46,79.46,1456
TOI-3160 A b,TOI-3160 A,2025,Transit,567.68,3.9713,13.76,378.22,1539
Kepler-1654 b,Kepler-1654,2018,Transit,568.12,1047.8356,9.18,158.92,206
WASP-176 b,WASP-176,2020,Transit,568.42,3.8991,16.87,271.74,1721
WASP-92 b,WASP-92,2016,Transit,575.89,2.1747,16.38,255.85,1871
